,image_name,image_url
0,f73e9107f6dbd42a.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/f73e9107f6dbd42a.jpg
1,c66bac3d6909ac5b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/c66bac3d6909ac5b.jpg
2,26e11bee6ff534e8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/26e11bee6ff534e8.jpg
3,f73cc4c224f97b03.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/f73cc4c224f97b03.jpg
4,636be92657878e3d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/636be92657878e3d.jpg
5,e609c8d27883b51d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/e609c8d27883b51d.jpg
6,d695707dc5d38d7b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/d695707dc5d38d7b.jpg
7,ca30e48347f5d51d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/ca30e48347f5d51d.jpg
8,4fbeb231a211f476.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/4fbeb231a211f476.jpg
9,31e62624206193b2.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/31e62624206193b2.jpg
10,47bd1fdfca054868.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/47bd1fdfca054868.jpg
11,f52818b207bd2aee.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/f52818b207bd2aee.jpg
12,a10597bb5074237f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/a10597bb5074237f.jpg
13,0a6db2b6681f29e1.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0a6db2b6681f29e1.jpg
14,abc4aa3935451057.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/abc4aa3935451057.jpg
15,27d3ede4b738a104.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/27d3ede4b738a104.jpg
16,9529d708c5b0d9d1.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/9529d708c5b0d9d1.jpg
17,258e17acc7f3a379.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/258e17acc7f3a379.jpg
18,01ac9e2348a89533.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/01ac9e2348a89533.jpg
19,b7aadb76fce77e65.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/b7aadb76fce77e65.jpg
20,c4d02c74945961ba.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/c4d02c74945961ba.jpg
21,8ffaa2192e5beca5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/8ffaa2192e5beca5.jpg
22,982b707cd78c3794.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/982b707cd78c3794.jpg
23,32b5fff3af4d2d71.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/32b5fff3af4d2d71.jpg
24,7b0dc23d20058af3.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/7b0dc23d20058af3.jpg
25,38bb307e411b1276.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/38bb307e411b1276.jpg
26,57bd2b4726923995.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/57bd2b4726923995.jpg
27,253d31c57379a0ab.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/253d31c57379a0ab.jpg
28,a3b54c307f40263c.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/a3b54c307f40263c.jpg
29,1ac43856234f4936.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/1ac43856234f4936.jpg
